folder,name,initials
/MUSICIANS/P/Phobos/,Krzysztof Malczewski,KM
/MUSICIANS/P/Professor_Chaos/,Sebastian Sprenger,SS
/MUSICIANS/P/Prosonix/Pedersen_Stein/,Stein Pedersen,SP
/MUSICIANS/P/PseudoGrafx/,Zdenek Eisenhammer,ZE
/MUSICIANS/P/PVCF/,Kai Walter,PVCF
/MUSICIANS/R/Raeburn_Gavin/,Gavin Raeburn,GR
/MUSICIANS/R/Raf/,Rafal Szyja,RS
/MUSICIANS/R/Riot/,David Dewar,DD
/MUSICIANS/R/Rock/,Sami Seppä,SS
/MUSICIANS/R/Rodger_Andrew/,Andrew Rodger,AR
/MUSICIANS/R/Rosenschein_Fabian/,Fabian Rosenschein,FR
/MUSICIANS/S/Sanden_Peter/,Peter Sanden,PS
/MUSICIANS/S/Scarzix/,Carsten Berggreen,CB
/MUSICIANS/S/Schmidt_Miron/,Miron Schmidt,
/MUSICIANS/S/Schneider_Markus/,Markus Schneider,MS
/MUSICIANS/S/Sgw32/,Fedor Zagumennov,FZ
/MUSICIANS/S/Sidder/,Marcin Romanowski,MR
/MUSICIANS/S/SIDwave/,Jan Harries ,JH
/MUSICIANS/S/Siebold_Markus/,Markus Siebold,
/MUSICIANS/S/SLC/Sidewinder/,Tom Roger Skauen,TRS;TS
/MUSICIANS/S/SoedeSoft/,Michiel Soede,MS
/MUSICIANS/S/Sonic_Graffiti/Hayes_Ben/,Ben Hayes,BH
/MUSICIANS/S/Stainless_Steel/,Joe Barwick,JB
/MUSICIANS/T/Tait_Mark/,Mark Tait,MT
/MUSICIANS/T/Taylor_Stuart/,Stuart Taylor,ST
/MUSICIANS/T/TBB/,TBB,TBB
/MUSICIANS/T/TC/,Timur Baysal,TC
/MUSICIANS/T/Tel_Jeroen/,Jeroen Tel,JT
/MUSICIANS/T/The_Syndrom/,Matthias Hartung,The Syndrom
/MUSICIANS/T/Tidstrand_Ulf/,Ulf Tidstrand,TU
/MUSICIANS/T/Tjelta_Geir/,Geir Tjelta,GT
/MUSICIANS/T/TLF/,Chris Lightfoot,TLF
/MUSICIANS/T/TMR/,Jason Kelk,JK
/MUSICIANS/T/Tognon_Stefano/,Stefano Tognon,ST
/MUSICIANS/T/Tonal_Teapot/,Teapot Tonal,TT
/MUSICIANS/T/Top_Secret/,Rastislav Smutný,RS
/MUSICIANS/T/Trident/,Adam Dunkels,AD
/MUSICIANS/T/Tron_Olsson_Mikael/,Olsson Mikael Tron,MOT
/MUSICIANS/T/TSM/,Carmine Migliaccio,CM
/MUSICIANS/V/V-12/,Pawel Ruczko,PR
/MUSICIANS/V/Vaca_Ramiro/,Ramiro Vaca,
/MUSICIANS/V/Vincenzo/,László Vincze,LV
/MUSICIANS/V/Voois_Vincent/,Vincent Voois,VV
/MUSICIANS/W/Wacek/,Adam Waclawski,AW
/MUSICIANS/W/Waz/,Warren Pilkington,WP
/MUSICIANS/W/WG/,Wouter Groothengel,WG
/MUSICIANS/W/Whittaker_David/,David Whittaker,DW
/MUSICIANS/W/Wijnhoven_Joachim/,Joachim Wijnhoven,JW
/MUSICIANS/W/Wilson_Mark/,Mark Wilson,MW
/MUSICIANS/W/Wisdom/,Huseyin Kilic,HK
/MUSICIANS/X/Xonic_the_Fox/,Roy Digre,RD
/MUSICIANS/Z/Zyron/,Johan Åstrand,JÅ
